Rxn_name	Comp_correction	Species	Ratelaw						
vD41	Nucleus	 Wip1product2 ; 	Wip1product2/kD41	440.892					
vD42	Nucleus	  ; Wip1product2	Wip1product1/kD42	440.892					
vD43	Nucleus	 Wip1product3 ; 	Wip1product3/kD43	594.792					
vD44	Nucleus	  ; Wip1product3	Wip1product2/kD44	594.792					
vD45	Nucleus	 Wip1product4 ; 	Wip1product4/kD45	357.246					
vD46	Nucleus	  ; Wip1product4	Wip1product3/kD46	357.246					
vD47	Nucleus	 Wip1product5 ; 	Wip1product5/kD47	490.644					
vD48	Nucleus	  ; Wip1product5	Wip1product4/kD48	490.644					
vD49	Nucleus	 Wip1product6 ; 	Wip1product6/kD49	1026.18					
vD50	Nucleus	  ; Wip1product6	Wip1product5/kD450	1026.18					
vD51	Nucleus	 Wip1product7 ; 	Wip1product7/kD51	380.7					
vD52	Nucleus	  ; Wip1product7	Wip1product6/kD52	380.7					
vD53	Nucleus	 Wip1product8 ; 	Wip1product8/kD53	238.6764					
vD54	Nucleus	  ; Wip1product8	Wip1product7/kD54	238.6764					
vD55	Nucleus	 Wip1product9 ; 	Wip1product9/kD55	399.312					
vD56	Nucleus	  ; Wip1product9	Wip1product8/kD56	399.312					
vD57	Nucleus	 Wip1pro ; 	Wip1pro/kD57	152.7624					
vD58	Nucleus	  ; Wip1pro	Wip1product9/kD58	152.7624					
vD59	Nucleus	 MDM2 ; 	kD59*ARF*MDM2	0					
vD60	Nucleus	 pMDM2 ; 	kD60*ARF*pMDM2	0					
vD61	Nucleus	 p53ac + MDM4 ; p53ac_MDM4	kD61*MDM4*p53ac	0					
vD62	Nucleus	 p53ac_MDM4 ; p53ac + MDM4	kD62*p53ac_MDM4	0					
vD63	Nucleus	 damageDSB ; 	kD63*BRCA2*damageDSB	5.00E-05					
vD64	Nucleus	 damageSSB ; 	kD64*MSH6*damageSSB	1.00E-05					
vD65	Nucleus	 damageSSB ; 	kD65*MGMT*damageSSB	1.00E-05					
vD66	Nucleus	  ; damageDSB + damageSSB	(kD66_1+kD66_2*(kD66_3/(kD66_3+kD66_4)))*(((Ma+Me)^kD66_5)/(((Ma+Me)^kD66_5)+(kD66_6^kD66_5)))	1.00E-06	0.005	0	5000	5	20
vC1	Nucleus	  ; pRB	kC1	0					
vC2	Nucleus	 pRB + E2F ; pRBc1	2.36E-06						
vC3	Nucleus	 pRBc1 ; pRB + E2F	0.002361111						
vC4	Nucleus	 pRB ; pRBp	kC4_1*(pRB/(kC4_2+pRB))*(Md+Mdp27)	0.01038889	10				
vC5	Nucleus	 pRBp ; pRB	kC5_1*(pRBp/(kC5_2+pRBp))	0.9444444	10				
vC6	Nucleus	 pRB ; 	4.72E-05						
vC7	Nucleus	 pRBp ; pRBpp	kC7_1*(pRBp/(kC7_2+pRBp))*Me	0.004722222	10				
vC8	Nucleus	 pRBpp ; pRBp	kC8_1*(pRBpp/(kC8_2+pRBpp))	0.9444444	10				
vC9	Nucleus	 pRBp + E2F ; pRBc2	1.18E-06						
vC10	Nucleus	 pRBc2 ; pRBp + E2F	0.002361111						
vC11	Nucleus	 pRBp ; 	0.000283333						
vC12	Nucleus	 pRBpp ; 	0.000188889						
vC13	Nucleus	  ; E2F	0						
vC14	Nucleus	 E2F ; E2Fp	kC14_1*Ma*(E2F/(E2F+kc14_2))	0.01888889	500				
vC15	Nucleus	 E2Fp ; E2F	kC15_1*(E2Fp/(E2Fp+kC15_2))	0.3541667	500				
vC16	Nucleus	 E2F ; 	9.44E-06						
vC17	Nucleus	 E2Fp ; 	0.005194444						
vC18	Nucleus	  ; Cd	0						
vC19	Nucleus	 Cd ; Mdi	kC19_1*Cd*(kC19_2-(Mdi+Md+Mdp27+Mdp21))	8.26E-06	150				
vC20	Nucleus	 Mdi ; Cd	0.000472222						
vC21	Nucleus	 Cd ; 	kC21_1*(Cd/(kC21_2+Cd))	2.361111	10				
vC22	Nucleus	 Cd ; 	2.36E-05						
vC23	Nucleus	 Md ; Mdi	kC23_1*(Md/(kC23_2+Md))	0.09444444	10				
vC24	Nucleus	 Mdi ; Md	kC24_1*(Mdi/(kC24_2+Mdi))	0.4722222	10				
vC25	Nucleus	 Md + p27 ; Mdp27	7.08E-06						
vC26	Nucleus	 Mdp27 ; Md + p27	0.000708333						
vC27	Nucleus	  ; Ce	0						
vC28	Nucleus	 Ce ; Mei	kC28_1*Ce*(kC28_2-(Mei+Me+Mep27+Mep21+Mai+Ma+Map27+Map21))	9.44E-06	200				
vC29	Nucleus	 Mei ; Ce	0.000472222						
vC30	Nucleus	 Ce ; 	kC30_1*(Skp2/(kC30_2+Skp2))*(Ce/(kC30_3+Ce))	1.416667	200	10			
vC31	Nucleus	 Me ; Mei	kC31_1*(Wee1+kC31_2)*(Me/(kC31_3+Me))	0.006611111	50	10			
vC32	Nucleus	 Mei ; Me	kC32_1*Pe*(Mei/(kC32_2+Mei))	0.009444444	10				
vC33	Nucleus	 Me + p27 ; Mep27	9.44E-06						
vC34	Nucleus	 Mep27 ; Me + p27	0.000472222						
vC35	Nucleus	  ; Skp2	0						
vC36	Nucleus	 Skp2 ; 	kC36_1*(Skp2/(k36_2+Skp2))*(Cdh1a/(kC36_3+Cdh1a))	0.5194444	50	40			
vC37	Nucleus	 Skp2 ; 	2.36E-05						
vC38	Nucleus	  ; Pei	0						
vC39	Nucleus	 Pe ; Pei	kC39_1*(kC39_2+(kC39_3*Chk1))*(Pe/(kC39_4+Pe))	0.3777778	1	0.01	10		
vC40	Nucleus	 Pei ; Pe	kC40_1*(Me+kC40_2)*(Pei/(kC40_3+Pei))	0.02361111	25	10			
vC41	Nucleus	 Pei ; 	0.000708333						
vC42	Nucleus	 Pe ; 	0.000354167						
vC43	Nucleus	  ; Ca	0						
vC44	Nucleus	 Ca ; Mai	kC44_1*Ca*(kC44_2-(Mei+Me+Mep27+Mep21+Mai+Ma+Map27+Map21))	9.44E-06	200				
vC45	Nucleus	 Mai ; Ca	0.000472222						
vC46	Nucleus	 Ca ; 	kC46_1*(Ca/(kC46_2+Ca))*(Cdc20a/(kC46_3+Cdc20a))	1.180556	110	200			
vC47	Nucleus	 Ca ; 	2.36E-05						
vC48	Nucleus	 Ma ; Mai	kC48_1*(Wee1+kC48_2)*(Ma/(kC48_3+Ma))	0.008736111	50	10			
vC49	Nucleus	 Mai ; Ma	kC49_1*Pa*(Mai/(kC49_2+Mai))	0.009444444	10				
vC50	Nucleus	 Ma + p27 ; Map27	7.08E-06						
vC51	Nucleus	 Map27 ; Ma + p27	0.000590278						
vC52	Nucleus	 p27 ; p27p	kC52_1*Me*(p27/(p27+kC52_2))	0.4722222	50				
vC53	Nucleus	 p27p ; p27	kC53_1*(p27p/(p27p+kC53_2))	0.04722222	50				
vC54	Nucleus	 p27p ; 	kC54_1*(Skp2/(Skp2+kC54_2))*(p27p/(p27p+kC54_3))	2.361111	10	10			
vC55	Nucleus	 p27p ; 	4.72E-05						
vC56	Nucleus	 Cdh1a ; Cdh1i	kC56_1*(Cdh1a/(kC56_2+Cdh1a))*(Ma+Mb)	0.03777778	1				
vC57	Nucleus	 Cdh1i ; Cdh1a	kC57_1*(Cdh1i/(kC57_2+Cdh1i))	0.5902778	1				
vC58	Nucleus	 Cdh1i ; 	0.000944444						
vC59	Nucleus	  ; Cdh1a	0						
vC60	Nucleus	 Cdh1a ; 	0.000472222						
vC61	Nucleus	  ; Pai	0						
vC62	Nucleus	 Pa ; Pai	kC62_1*(kC62_2+(kC62_3*Chk1))*(Pa/(kC62_4+Pa))	0.4722222	1	0.01	10		
vC63	Nucleus	 Pai ; Pa	kC63_1*(Ma+kC63_2)*(Pai/(kC63_3+Pai))	0.01888889	20	10			
vC64	Nucleus	 Pai ; 	0.000708333						
vC65	Nucleus	 Pa ; 	0.000354167						
vC66	Nucleus	  ; Cb	0						
vC67	Nucleus	 Cb ; Mbi	kC67_1*Cb*(kC67_2-(Mbi+Mb+Mbp27+Mbp21))	1.18E-05	50				
vC68	Nucleus	 Mbi ; Cb	0.000472222						
vC69	Nucleus	 Cb ; 	kC69_1*(Cb/(kC69_2+Cb))*((Cdc20a/(kC69_3+Cdc20a))+(Cdh1a/(kC69_4+Cdh1a)))	0.02833333	0.5	20	10		
vC70	Nucleus	 Cb ; 	2.36E-05						
vC71	Nucleus	 Mb ; Mbi	kC71_1*(Wee1+kC71_2)*(Mb/(kC71_3+Mb))	0.009916667	50	10			
vC72	Nucleus	 Mbi ; Mb	kC72_1*Pb*(Mbi/(kC72_2+Mbi))	0.01841667	10				
vC73	Nucleus	 p27 + Mb ; Mbp27	5.67E-06						
vC74	Nucleus	 Mbp27 ; p27 + Mb	0.000944444						
vC75	Nucleus	  ; Cdc20i	0						
vC76	Nucleus	 Cdc20i ; Cdc20a	kC76_1*Mb*(Cdc20i/(kC76_2+Cdc20i))	0.03777778	10				
vC77	Nucleus	 Cdc20a ; Cdc20i	kC77_1*(Cdc20a/(kC77_2+Cdc20a))	0.3305556	10				
vC78	Nucleus	 Cdc20i ; 	0.000661111						
vC79	Nucleus	 Cdc20a ; 	0.000236111						
vC80	Nucleus	  ; Pbi	0						
vC81	Nucleus	 Pb ; Pbi	kC81_1*(kC81_2+(kC81_3*Chk1))*(Pb/(kC81_4+Pb))	0.4722222	1	0.01	10		
vC82	Nucleus	 Pbi ; Pb	kC82_1*(Mb+kC82_2)*(Pbi/(kC82_3+Pbi))	0.02361111	11	10			
vC83	Nucleus	 Pbi ; 	0.000944444						
vC84	Nucleus	 Pb ; 	0.000472222						
vC85	Nucleus	  ; Wee1	0						
vC86	Nucleus	 Wee1 ; Wee1p	kC86_1*(Mb+kC86_2)*(Wee1/(kC86_3+Wee1))	0.005666667	75	10			
vC87	Nucleus	 Wee1p ; Wee1	kC87_1*(Wee1p/(kC87_2+Wee1p))	0.4722222	10				
vC88	Nucleus	 Wee1 ; 	0.000472222						
vC89	Nucleus	 Wee1p ; 	0.000944444						
vC90	Nucleus	  ; Chk1	kC90_1*ATRac*((kC90_2-Chk1)/(kC90_3+(kC90_2-Chk1)))	0.01888889	50	50			
vC91	Nucleus	 Chk1 ; 	kC91_1*(Chk1/(kC91_2+Chk1))	0.04722222	50				
vC92	Nucleus	 Ce ; 	2.36E-05						
vC93	Nucleus	  ; p27	0						
vC94	Nucleus	  ; p27	0						
vC95	Nucleus	 p27 ; 	0.000283333						
vC96	Nucleus	 Md + p21 ; Mdp21	1.42E-06						
vC97	Nucleus	 Mdp21 ; Md + p21	0.000236111						
vC98	Nucleus	 Me + p21 ; Mep21	1.89E-06						
vC99	Nucleus	 Mep21 ; Me + p21	0.000472222						
vC100	Nucleus	 Ma + p21 ; Map21	1.42E-06						
vC101	Nucleus	 Map21 ; Ma + p21	0.000590278						
vC102	Nucleus	 Mb + p21 ; Mbp21	1.13E-06						
vC103	Nucleus	 Mbp21 ; Mb + p21	0.000944444						
vC104	Nucleus	 p21 ; 	0.000289731						
vA1	Cytoplasm	 L + R ; L_R	0.00126483						
vA2	Cytoplasm	 L_R ; L + R	0.001						
vA3	Cytoplasm	 L_R ; Ractive	1.00E-06						
vA4	Cytoplasm	 Ractive + flip ; Ractive_flip	0.003162075						
vA5	Cytoplasm	 Ractive_flip ; Ractive + flip	0.001						
vA6	Cytoplasm	 Ractive + pC8 ; Ractive_pC8	0.003162075						
vA7	Cytoplasm	 Ractive_pC8 ; Ractive + pC8	0.001						
vA8	Cytoplasm	 Ractive_pC8 ; Ractive + C8	1						
vA9	Cytoplasm	 C8 + Bar ; C8_Bar	0.003162075						
vA10	Cytoplasm	 C8_Bar ; C8 + Bar	0.001						
vA11	Cytoplasm	 C8 + pC3 ; C8_pC3	0.000316208						
vA12	Cytoplasm	 C8_pC3 ; C8 + pC3	0.001						
vA13	Cytoplasm	 C8_pC3 ; C8 + C3	0.001						
vA14	Cytoplasm	 C3 + pC6 ; C3_pC6	3.16E-06						
vA15	Cytoplasm	 C3_pC6 ; C3 + pC6	0.001						
vA16	Cytoplasm	 C3_pC6 ; C3 + C6	1						
vA17	Cytoplasm	 pC8 + C6 ; C6_C8	9.49E-06						
vA18	Cytoplasm	 C6_C8 ; pC8 + C6	0.001						
vA19	Cytoplasm	 C6_C8 ; C8 + C6	1						
vA20	Cytoplasm	 C3 + XIAP ; C3_XIAP	0.00632415						
vA21	Cytoplasm	 C3_XIAP ; C3 + XIAP	0.001						
vA22	Cytoplasm	 C3_XIAP ; XIAP + C3_Ub	0.1						
vA23	Cytoplasm	 C3 + PARP ; C3_PARP	3.16E-05						
vA24	Cytoplasm	 C3_PARP ; C3 + PARP	0.01						
vA25	Cytoplasm	 C3_PARP ; C3 + cPARP	1						
vA26	Cytoplasm	 C8 + Bid ; C8_Bid	3.16E-06						
vA27	Cytoplasm	 C8_Bid ; C8 + Bid	0.001						
vA28	Cytoplasm	 C8_Bid ; C8 + tBid	0.0001						
vA29	Cytoplasm	 tBid + Bcl2c ; tBid_Bcl2c	0.003162075						
vA30	Cytoplasm	 tBid_Bcl2c ; tBid + Bcl2c	0.001						
vA31	Cytoplasm	 tBid + Bax ; tBid_Bax	0.000316208						
vA32	Cytoplasm	 tBid_Bax ; tBid + Bax	0.001						
vA33	Cytoplasm	 tBid_Bax ; tBid + Baxactive	1						
vA34	Cytoplasm	 Baxactive ; Baxm	0.01						
vA35	Mitochondrion	 Baxm ; Baxactive	0.01						
vA36	Mitochondrion	 Baxm + Bcl2 ; Baxm_Bcl2	0.003162075						
vA37	Mitochondrion	 Baxm_Bcl2 ; Baxm + Bcl2	0.001						
vA38	Mitochondrion	 Baxm + Baxm ; Bax2	316.2075						
vA39	Mitochondrion	 Bax2 ; Baxm + Baxm	10						
vA40	Mitochondrion	 Bcl2 + Bax2 ; Bax2_Bcl2	0.003162075						
vA41	Mitochondrion	 Bax2_Bcl2 ; Bcl2 + Bax2	0.001						
vA42	Mitochondrion	 Bax2 + Bax2 ; Bax4	316.2075						
vA43	Mitochondrion	 Bax4 ; Bax2 + Bax2	10						
vA44	Mitochondrion	 Bcl2 + Bax4 ; Bax4_Bcl2	0.003162075						
vA45	Mitochondrion	 Bax4_Bcl2 ; Bcl2 + Bax4	0.001						
vA46	Mitochondrion	 Bax4 + M ; Bax4_M	0.003162075						
vA47	Mitochondrion	 Bax4_M ; Bax4 + M	0.001						
vA48	Mitochondrion	 Bax4_M ; Bax4 + Mactive	1						
vA49	Mitochondrion	 Mactive + CytoCm ; Mactive_CytoCm	0.00632415						
vA50	Mitochondrion	 Mactive_CytoCm ; Mactive + CytoCm	1						
vA51	Mitochondrion	 Mactive_CytoCm ; Mactive + CytoCr	0.1						
vA52	Mitochondrion	 Mactive + Smacm ; Mactive_Smacm	0.00632415						
vA53	Mitochondrion	 Mactive_Smacm ; Mactive + Smacm	1						
vA54	Mitochondrion	 Mactive_Smacm ; Mactive + Smacr	0.1						
vA55	Mitochondrion	 CytoCr ; CytoC	0.01						
vA56	Cytoplasm	 CytoC ; CytoCr	0.01						
vA57	Cytoplasm	 CytoC + Apaf ; CytoC_Apaf	0.001581038						
vA58	Cytoplasm	 CytoC_Apaf ; CytoC + Apaf	0.001						
vA59	Cytoplasm	 CytoC_Apaf ; CytoC + Apafactive	1						
vA60	Cytoplasm	 Apafactive + pC9 ; Apop	0.000158104						
vA61	Cytoplasm	 Apop ; Apafactive + pC9	0.001						
vA62	Cytoplasm	 pC3 + Apop ; Apop_C3	1.58E-05						
vA63	Cytoplasm	 Apop_C3 ; pC3 + Apop	0.001						
vA64	Cytoplasm	 Apop_C3 ; C3 + Apop	0.0001						
vA65	Mitochondrion	 Smacr ; Smac	0.01						
vA66	Cytoplasm	 Smac ; Smacr	0.01						
vA67	Cytoplasm	 XIAP + Apop ; Apop_XIAP	0.00632415						
vA68	Cytoplasm	 Apop_XIAP ; XIAP + Apop	0.001						
vA69	Cytoplasm	 XIAP + Smac ; Smac_XIAP	0.02213453						
vA70	Cytoplasm	 Smac_XIAP ; XIAP + Smac	0.001						
vA71	Cytoplasm	 Bcl2c + BAD ; Bcl2c_BAD	0.003162075						
vA72	Cytoplasm	 Bcl2c_BAD ; Bcl2c + BAD	0.001						
vA73	Cytoplasm	 Bcl2c + PUMA ; Bcl2c_PUMA	0.003162075						
vA74	Cytoplasm	 Bcl2c_PUMA ; Bcl2c + PUMA	0.001						
vA75	Cytoplasm	 Bcl2c + NOXA ; Bcl2c_NOXA	0.003162075						
vA76	Cytoplasm	 Bcl2c_NOXA ; Bcl2c + NOXA	0.001						
vA77	Cytoplasm	 Bax + BIM ; BIM_Bax	1.58E-08						
vA78	Cytoplasm	 BIM_Bax ; Bax + BIM	0.001						
vA79	Cytoplasm	 BIM_Bax ; Baxactive + BIM	1						
vA80	Cytoplasm	 Bcl2c + BIM ; Bcl2c_BIM	0.003162075						
vA81	Cytoplasm	 Bcl2c_BIM ; Bcl2c + BIM	0.001						
vA82	Mitochondrion	 Mactive ; M	0.01						
vA83	Mitochondrion	 Smacr ; Smacm	0.01						
vA84	Mitochondrion	 CytoCr ; CytoCm	0.01						
vA85	Cytoplasm	 Bcl2c ; Bcl2	0.001						
vA86	Mitochondrion	 Bcl2 ; Bcl2c	0.1						
vA87	Cytoplasm	 pC8 ; C8	1.00E-09						
vR1	Cytoplasm	 E + E1 ; EE1	0.001						
vR2	Cytoplasm	 EE1 ; E + E1	0.001						
vR3	Cytoplasm	 E2 + EE1 ; EE1E2	0.01						
vR4	Cytoplasm	 EE1E2 ; E2 + EE1	0.001						
vR5	Cytoplasm	 E1 + EE1 ; EE1E1	0.01						
vR6	Cytoplasm	 EE1E1 ; E1 + EE1	0.01						
vR7	Cytoplasm	 E + EE1E1 ; EE1EE1	0.001						
vR8	Cytoplasm	 EE1EE1 ; E + EE1E1	0.02						
vR9	Cytoplasm	 EE1EE1 ; EE1 + EE1	0.01						
vR10	Cytoplasm	 EE1 + EE1 ; EE1EE1	0.01						
vR11	Cytoplasm	 E3 + EE1 ; EE1E3	0.01						
vR12	Cytoplasm	 EE1E3 ; E3 + EE1	0.001						
vR13	Cytoplasm	 H + EE1E3 ; EE1HE3	0.001						
vR14	Cytoplasm	 EE1HE3 ; H + EE1E3	0.01						
vR15	Cytoplasm	 EE1HE3 ; EE1 + HE3	0.01						
vR16	Cytoplasm	 EE1 + HE3 ; EE1HE3	0.01						
vR17	Cytoplasm	 Ev3 + EE1 ; EE1Ev3	0.01						
vR18	Cytoplasm	 EE1Ev3 ; Ev3 + EE1	0.01						
vR19	Cytoplasm	 E4 + EE1 ; EE1E4	0.01						
vR20	Cytoplasm	 EE1E4 ; E4 + EE1	0.01						
vR21	Cytoplasm	 H + EE1E4 ; EE1HE4	0.001						
vR22	Cytoplasm	 EE1HE4 ; H + EE1E4	0.01						
vR23	Cytoplasm	 EE1HE4 ; EE1 + HE4	0.01						
vR24	Cytoplasm	 EE1 + HE4 ; EE1HE4	0.01						
vR25	Cytoplasm	 H + E3 ; HE3	0.001						
vR26	Cytoplasm	 HE3 ; H + E3	0.001						
vR27	Cytoplasm	 E2 + HE3 ; E2HE3	0.01						
vR28	Cytoplasm	 E2HE3 ; E2 + HE3	0.01						
vR29	Cytoplasm	 E1 + HE3 ; E1HE3	0.01						
vR30	Cytoplasm	 E1HE3 ; E1 + HE3	0.01						
vR31	Cytoplasm	 E + E1HE3 ; EE1HE3	0.001						
vR32	Cytoplasm	 EE1HE3 ; E + E1HE3	0.01						
vR33	Cytoplasm	 E3 + HE3 ; HE3E3	0.01						
vR34	Cytoplasm	 HE3E3 ; E3 + HE3	0.01						
vR35	Cytoplasm	 H + HE3E3 ; HE3HE3	0.001						
vR36	Cytoplasm	 HE3HE3 ; H + HE3E3	0.02						
vR37	Cytoplasm	 HE3HE3 ; HE3 + HE3	0.01						
vR38	Cytoplasm	 HE3 + HE3 ; HE3HE3	0.01						
vR39	Cytoplasm	 Ev3 + HE3 ; HE3Ev3	0.01						
vR40	Cytoplasm	 HE3Ev3 ; Ev3 + HE3	0.01						
vR41	Cytoplasm	 E4 + HE3 ; HE3E4	0.01						
vR42	Cytoplasm	 HE3E4 ; E4 + HE3	0.01						
vR43	Cytoplasm	 H + HE3E4 ; HE3HE4	0.001						
vR44	Cytoplasm	 HE3HE4 ; H + HE3E4	0.01						
vR45	Cytoplasm	 HE3HE4 ; HE3 + HE4	0.01						
vR46	Cytoplasm	 HE3 + HE4 ; HE3HE4	0.01						
vR47	Cytoplasm	 H + E4 ; HE4	0.001						
vR48	Cytoplasm	 HE4 ; H + E4	0.001						
vR49	Cytoplasm	 E2 + HE4 ; E2HE4	0.01						
vR50	Cytoplasm	 E2HE4 ; E2 + HE4	0.01						
vR51	Cytoplasm	 E1 + HE4 ; E1HE4	0.01						
vR52	Cytoplasm	 E1HE4 ; E1 + HE4	0.01						
vR53	Cytoplasm	 E + E1HE4 ; EE1HE4	0.001						
vR54	Cytoplasm	 EE1HE4 ; E + E1HE4	0.01						
vR55	Cytoplasm	 E3 + HE4 ; E3HE4	0.01						
vR56	Cytoplasm	 E3HE4 ; E3 + HE4	0.01						
vR57	Cytoplasm	 H + E3HE4 ; HE3HE4	0.001						
vR58	Cytoplasm	 HE3HE4 ; H + E3HE4	0.01						
vR59	Cytoplasm	 Ev3 + HE4 ; HE4Ev3	0.01						
vR60	Cytoplasm	 HE4Ev3 ; Ev3 + HE4	0.01						
vR61	Cytoplasm	 E4 + HE4 ; HE4E4	0.01						
vR62	Cytoplasm	 HE4E4 ; E4 + HE4	0.01						
vR63	Cytoplasm	 H + HE4E4 ; HE4HE4	0.001						
vR64	Cytoplasm	 HE4HE4 ; H + HE4E4	0.02						
vR65	Cytoplasm	 HE4HE4 ; HE4 + HE4	0.01						
vR66	Cytoplasm	 HE4 + HE4 ; HE4HE4	0.01						
vR67	Cytoplasm	 E1 + ppERK ; E1_ppERK	0.001						
vR68	Cytoplasm	 pE1 ; E1	0.1						
vR69	Cytoplasm	 E2 + ppERK ; E2_ppERK	0.001						
vR70	Cytoplasm	 pE2 ; E2	0.1						
vR71	Cytoplasm	 E4 + ppERK ; E4_ppERK	0.001						
vR72	Cytoplasm	 pE4 ; E4	0.1						
vR73	Cytoplasm	 HGF + Met ; HGF_Met	0.05						
vR74	Cytoplasm	 HGF_Met ; HGF + Met	0.0016						
vR75	Cytoplasm	 Met + HGF_Met ; HGF_Met_Met	0.01						
vR76	Cytoplasm	 HGF_Met_Met ; Met + HGF_Met	0.01						
vR77	Cytoplasm	 HGF + HGF_Met_Met ; HGF_Met_HGF_Met	0.05						
vR78	Cytoplasm	 HGF_Met_HGF_Met ; HGF + HGF_Met_Met	0.0032						
vR79	Cytoplasm	 HGF_Met_HGF_Met ; HGF_Met + HGF_Met	0.01						
vR80	Cytoplasm	 HGF_Met + HGF_Met ; HGF_Met_HGF_Met	0.01						
vR81	Cytoplasm	 P + Pr ; PPr	0.05						
vR82	Cytoplasm	 PPr ; P + Pr	0.05						
vR83	Cytoplasm	 PPr + PPr ; PPrPPr	0.01						
vR84	Cytoplasm	 PPrPPr ; PPr + PPr	0.0001						
vR85	Cytoplasm	 PPrPPr ; P + PPrPr	2						
vR86	Cytoplasm	 PPrPr ; Pr + PPr	0.001						
vR87	Cytoplasm	 F + Fr ; FFr	0.001						
vR88	Cytoplasm	 FFr ; F + Fr	2.00E-05						
vR89	Cytoplasm	 FFr + FFr ; FFrFFr	0.01						
vR90	Cytoplasm	 FFrFFr ; FFr + FFr	0.001						
vR91	Cytoplasm	 FFrFFr ; F + FFrFr	0.004						
vR92	Cytoplasm	 F + FFrFr ; FFrFFr	0.001						
vR93	Cytoplasm	 FFrFr ; Fr + FFr	0.001						
vR94	Cytoplasm	 Fr + FFr ; FFrFr	0.01						
vR95	Cytoplasm	 Ir + Ir ; IrIr	0.01						
vR96	Cytoplasm	 IrIr ; Ir + Ir	0						
vR97	Cytoplasm	 Isr + Isr ; Isr_Isr	0.01						
vR98	Cytoplasm	 Isr_Isr ; Isr + Isr	0						
vR99	Cytoplasm	 E1_ppERK ; E1 + ppERK	0.1						
vR100	Cytoplasm	 E1_ppERK ; pE1 + ppERK	1						
vR101	Cytoplasm	 E2_ppERK ; E2 + ppERK	0.1						
vR102	Cytoplasm	 E2_ppERK ; pE2 + ppERK	1						
vR103	Cytoplasm	 E4_ppERK ; E4 + ppERK	0.1						
vR104	Cytoplasm	 E4_ppERK ; pE4 + ppERK	1						
vR105	Cytoplasm	 E1 + E1 ; E1E1	0.001						
vR106	Cytoplasm	 E1E1 ; E1 + E1	1						
vR107	Cytoplasm	 E1 + E2 ; E1E2	0.001						
vR108	Cytoplasm	 E1E2 ; E1 + E2	1						
vR109	Cytoplasm	 E1 + E3 ; E1E3	0.001						
vR110	Cytoplasm	 E1E3 ; E1 + E3	1						
vR111	Cytoplasm	 E1 + E4 ; E1E4	0.001						
vR112	Cytoplasm	 E1E4 ; E1 + E4	1						
vR113	Cytoplasm	 E2 + E2 ; E2E2	0.001						
vR114	Cytoplasm	 E2E2 ; E2 + E2	1						
vR115	Cytoplasm	 E2 + E3 ; E2E3	0.001						
vR116	Cytoplasm	 E2E3 ; E2 + E3	1						
vR117	Cytoplasm	 E2 + E4 ; E2E4	0.001						
vR118	Cytoplasm	 E2E4 ; E2 + E4	1						
vR119	Cytoplasm	 E3 + E4 ; E3E4	0.001						
vR120	Cytoplasm	 E3E4 ; E3 + E4	1						
vR121	Cytoplasm	 E4 + E4 ; E4E4	0.001						
vR122	Cytoplasm	 E4E4 ; E4 + E4	1						
vR123	Cytoplasm	 E + E1E1 ; EE1E1	0.002						
vR124	Cytoplasm	 EE1E1 ; E + E1E1	0.001						
vR125	Cytoplasm	 E + E1E2 ; EE1E2	0.001						
vR126	Cytoplasm	 EE1E2 ; E + E1E2	0.001						
vR127	Cytoplasm	 E + E1E3 ; EE1E3	0.001						
vR128	Cytoplasm	 EE1E3 ; E + E1E3	0.001						
vR129	Cytoplasm	 H + E1E3 ; E1HE3	0.001						
vR130	Cytoplasm	 E1HE3 ; H + E1E3	0.001						
vR131	Cytoplasm	 E + E1E4 ; EE1E4	0.001						
vR132	Cytoplasm	 EE1E4 ; E + E1E4	0.001						
vR133	Cytoplasm	 H + E1E4 ; E1HE4	0.001						
vR134	Cytoplasm	 E1HE4 ; H + E1E4	0.001						
vR135	Cytoplasm	 H + E2E3 ; E2HE3	0.001						
vR136	Cytoplasm	 E2HE3 ; H + E2E3	0.001						
vR137	Cytoplasm	 H + E2E4 ; E2HE4	0.001						
vR138	Cytoplasm	 E2HE4 ; H + E2E4	0.001						
vR139	Cytoplasm	 H + E3E4 ; E3HE4	0.002						
vR140	Cytoplasm	 E3HE4 ; H + E3E4	0.001						
vR141	Cytoplasm	 H + E4E4 ; HE4E4	0.002						
vR142	Cytoplasm	 HE4E4 ; H + E4E4	0.001						
vR143	Cytoplasm	 Met + Met ; Met_Met	0.001						
vR144	Cytoplasm	 Met_Met ; Met + Met	1						
vR145	Cytoplasm	 HGF + Met_Met ; HGF_Met_Met	0.1						
vR146	Cytoplasm	 HGF_Met_Met ; HGF + Met_Met	0.0016						
vR147	Cytoplasm	 Fr + Fr ; FrFr	0.001						
vR148	Cytoplasm	 FrFr ; Fr + Fr	1						
vR149	Cytoplasm	 F + FrFr ; FFrFr	0.002						
vR150	Cytoplasm	 FFrFr ; F + FrFr	2.00E-05						
vR151	Cytoplasm	 I + IrIr ; IIrIr	0.000347						
vR152	Cytoplasm	 IIrIr ; I + IrIr	3.12E-05						
vR153	Cytoplasm	 I + IIrIr ; IIrIrI	0.000347						
vR154	Cytoplasm	 IIrIrI ; I + IIrIr	0.0031						
vR155	Cytoplasm	 INS + Isr_Isr ; INS_Isr_Isr	9.80E-05						
vR156	Cytoplasm	 INS_Isr_Isr ; INS + Isr_Isr	0.0031						
